id,entity,metric,value,unit,observation_period,evidence_status,source_id,source_url,source_location,retrieved,notes
S_DELAY,Research scenario,unstarted phase start after model date,3,months,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_H1_ELAPSED,Research scenario,first phase elapsed service equivalent,1,months,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_FUND,Research scenario,additional frontier funding illustration,100,USD_billion,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_FUNDYEAR,Research scenario,funding time,3,years,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_DISTRIBUTE,Research scenario,first frontier distribution year,6,years,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_HOLD,Research scenario,years holding initial investment ratio,2,years,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_M_MARGIN,Research scenario,pre-reinvestment cash share,0.49,fraction,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_M_CAP,Research scenario,terminal all-in investment share,0.25,fraction,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_RENEW_PRICE,Research scenario,second-cycle full-capacity revenue per IT MW-year,16,USD_million_per_MW_year,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_RENEW_U,Research scenario,second-cycle paid utilization,0.9,fraction,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_RENEW_VAR,Research scenario,second-cycle variable cash-cost share,0.25,fraction,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_RENEW_FIXED,Research scenario,second-cycle fixed annual cash costs,0.25,USD_billion,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_REFRESH,Research scenario,replacement and retrofit spending at renewal,4.3,USD_billion,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_OTHER_BUILD,Research scenario,other-portfolio remaining initial build at PV,5,USD_billion,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional parameter, not a measured issuer cost, utilization or price."
S_OTHER_WAIT,Research scenario,delay before first year-end other-portfolio cash,2,years,forward model from frozen price date,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,Two-year delay means first receipt at end of model year 3.
S_OTHER_YEARS,Research scenario,positive other-portfolio annual cash periods,15,years,forward scenario,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,other-portfolio test,2026-09-26,"600 MW is a conditional comparison with a target less Childress, not commissioned capacity. Other inputs are not measured prices or owner margins."
S_OTHER_MW,Research scenario,hypothetical other-portfolio IT capacity,600,MW,forward scenario,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,other-portfolio test,2026-09-26,"600 MW is a conditional comparison with a target less Childress, not commissioned capacity. Other inputs are not measured prices or owner margins."
S_OTHER_PRICE,Research scenario,hypothetical annual revenue per fully paid IT MW,20,USD_million_per_MW_year,forward scenario,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,other-portfolio test,2026-09-26,"600 MW is a conditional comparison with a target less Childress, not commissioned capacity. Other inputs are not measured prices or owner margins."
S_OTHER_MARGIN,Research scenario,cash after operating and continuing replacement costs,0.4,fraction,forward scenario,research_assumption,MODEL,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,other-portfolio test,2026-09-26,"600 MW is a conditional comparison with a target less Childress, not commissioned capacity. Other inputs are not measured prices or owner margins."
